seq;genus;specific_epithet;genus_trusted;specific_epithet_trusted;country_trusted;country;county;state_province;urls
9735;Piper;arboreum;Piper;arboreum;Brasil;Brazil;Antonina;Paraná;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM044861/TileGroup0/0-0-0.jpg']
19770;Ottonia;anisum;Piper;anisum;Brasil;Brasil;Guapimirim;Rio de Janeiro;['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00196139/TileGroup0/0-0-0.jpg']
40891;Ottonia;taperana;Piper;anisum;Brasil;Brasil;Palmares;Pernambuco;['https://storage.googleapis.com/cria-zoomify/herbaria/IPA/IPA0003648/TileGroup0/0-0-0.jpg']
7333;Piper;corcovadense;Piper;grazielae;Brasil;Brazil;Tapira;São Paulo;['https://storage.googleapis.com/cria-zoomify/herbaria/UEC/UEC139183/TileGroup0/0-0-0.jpg']
22332;Piper;corcovadensis;Piper;grazielae;Brasil;Brasil;Jequié;Bahia;['https://storage.googleapis.com/cria-zoomify/herbaria/HUESB/HUESB000008456/TileGroup0/0-0-0.jpg']
22343;Piper;corcovadensis;Piper;grazielae;Brasil;Brasil;Jequié;Bahia;['https://storage.googleapis.com/cria-zoomify/herbaria/HUESB/HUESB000011408/TileGroup0/0-0-0.jpg']
21142;Ottonia;propinqua;Piper;grazielae;Brasil;Brasil;Limeira;São Paulo;['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00013030/TileGroup0/0-0-0.jpg']
21260;Piper;corcovadensis;Piper;grazielae;Brasil;Brasil;São Paulo;São Paulo;['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00163151/TileGroup0/0-0-0.jpg']
13064;Piper;corcovadensis;Piper;grazielae;Brasil;Brasil;Diamante do Norte;Paraná;['https://storage.googleapis.com/cria-zoomify/herbaria/HUEM/HUEM000009983/TileGroup0/0-0-0.jpg']
9311;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;Itabuna;Bahia;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM110148/TileGroup0/0-0-0.jpg']
9821;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;Bocaiúva do Sul;Paraná;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM310953/TileGroup0/0-0-0.jpg']
10059;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;Fênix;Paraná;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM320258/TileGroup0/0-0-0.jpg']
3721;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;;Minas Gerais;['https://storage.googleapis.com/cria-zoomify/herbaria/NL-BOTANY/NL-U0005576/TileGroup0/0-0-0.jpg']
3720;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;;Minas Gerais;['https://storage.googleapis.com/cria-zoomify/herbaria/NL-BOTANY/NL-U0005575/TileGroup0/0-0-0.jpg']
10184;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;Guaraqueçaba;Paraná;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM279469/TileGroup0/0-0-0.jpg']
9575;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;Caxambú;Minas Gerais;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM109450/TileGroup0/0-0-0.jpg']
9413;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;Ibatiba;Espírito Santo;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM096912/TileGroup0/0-0-0.jpg']
9400;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;Conceição do Castelo;Espírito Santo;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM104697/TileGroup0/0-0-0.jpg']
9402;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;Conceição do Castelo;Espírito Santo;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM104701/TileGroup0/0-0-0.jpg']
9452;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;Venda Nova do Imigrante;Espírito Santo;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM253786/TileGroup0/0-0-0.jpg']
9474;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;Pirenópolis;Goiás;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM065287/TileGroup0/0-0-0.jpg']
9554;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;Belo Horizonte;Minas Gerais;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM175695/TileGroup0/0-0-0.jpg']
36777;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;Nova Venécia Mun.;Espírito Santo;['https://storage.googleapis.com/cria-zoomify/herbaria/NY/NY00556117_01/TileGroup0/0-0-0.jpg']
9596;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;Francisco Sá;Minas Gerais;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM065926/TileGroup0/0-0-0.jpg']
9604;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;Juiz de Fora;Minas Gerais;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM286904/TileGroup0/0-0-0.jpg']
9728;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;Antonina;Paraná;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM076460/TileGroup0/0-0-0.jpg']
