seq;genus;specific_epithet;genus_trusted;specific_epithet_trusted;country_trusted;country;county;state_province;urls
9735;Piper;arboreum;Piper;arboreum;Brasil;Brazil;Antonina;Paraná;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM044861/TileGroup0/0-0-0.jpg']
13064;Piper;corcovadensis;Piper;grazielae;Brasil;Brasil;Diamante do Norte;Paraná;['https://storage.googleapis.com/cria-zoomify/herbaria/HUEM/HUEM000009983/TileGroup0/0-0-0.jpg']
9821;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;Bocaiúva do Sul;Paraná;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM310953/TileGroup0/0-0-0.jpg']
10059;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;Fênix;Paraná;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM320258/TileGroup0/0-0-0.jpg']
10184;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;Guaraqueçaba;Paraná;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM279469/TileGroup0/0-0-0.jpg']
9728;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;Antonina;Paraná;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM076460/TileGroup0/0-0-0.jpg']
12953;Piper;corcovadensis;Piper;grazielae;Brasil;Brasil;Diamante do Norte;Paraná;['https://storage.googleapis.com/cria-zoomify/herbaria/HUEM/HUEM000009984/TileGroup0/0-0-0.jpg']
12954;Piper;corcovadensis;Piper;grazielae;Brasil;Brasil;Diamante do Norte;Paraná;['https://storage.googleapis.com/cria-zoomify/herbaria/HUEM/HUEM000009985/TileGroup0/0-0-0.jpg']
13057;Piper;corcovadensis;Piper;grazielae;Brasil;Brasil;Diamante do Norte;Paraná;['https://storage.googleapis.com/cria-zoomify/herbaria/HUEM/HUEM000009989/TileGroup0/0-0-0.jpg']
13104;Piper;corcovadensis;Piper;grazielae;Brasil;Brasil;Diamante do Norte;Paraná;['https://storage.googleapis.com/cria-zoomify/herbaria/HUEM/HUEM000009993/TileGroup0/0-0-0.jpg']
13055;Piper;corcovadensis;Piper;grazielae;Brasil;Brasil;Diamante do Norte;Paraná;['https://storage.googleapis.com/cria-zoomify/herbaria/HUEM/HUEM000009987/TileGroup0/0-0-0.jpg']
9970;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;Cerro Azul;Paraná;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM044996/TileGroup0/0-0-0.jpg']
12955;Piper;corcovadensis;Piper;grazielae;Brasil;Brasil;Diamante do Norte;Paraná;['https://storage.googleapis.com/cria-zoomify/herbaria/HUEM/HUEM000009994/TileGroup0/0-0-0.jpg']
10190;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;Guaratuba;Paraná;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM129876/TileGroup0/0-0-0.jpg']
10516;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;Paranaguá;Paraná;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM044994/TileGroup0/0-0-0.jpg']
10115;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;Guaíra;Paraná;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM076455/TileGroup0/0-0-0.jpg']
10268;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;Jundiaí do Sul;Paraná;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM219930/TileGroup0/0-0-0.jpg']
10327;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;Matinhos;Paraná;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM319717/TileGroup0/0-0-0.jpg']
10499;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;Paranaguá;Paraná;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM265721/TileGroup0/0-0-0.jpg']
12956;Piper;corcovadensis;Piper;grazielae;Brasil;Brasil;Maringá;Paraná;['https://storage.googleapis.com/cria-zoomify/herbaria/HUEM/HUEM000009978/TileGroup0/0-0-0.jpg']
12950;Piper;corcovadensis;Piper;grazielae;Brasil;Brasil;Maringá;Paraná;['https://storage.googleapis.com/cria-zoomify/herbaria/HUEM/HUEM000009976/TileGroup0/0-0-0.jpg']
12952;Piper;corcovadensis;Piper;grazielae;Brasil;Brasil;Maringá;Paraná;['https://storage.googleapis.com/cria-zoomify/herbaria/HUEM/HUEM000009980/TileGroup0/0-0-0.jpg']
12957;Piper;corcovadensis;Piper;grazielae;Brasil;Brasil;Maringá;Paraná;['https://storage.googleapis.com/cria-zoomify/herbaria/HUEM/HUEM000009979/TileGroup0/0-0-0.jpg']
