seq;genus;specific_epithet;genus_trusted;specific_epithet_trusted;country_trusted;country;county;state_province;urls
9123;Piper;regnellii;Piper;regnellii;Brasil;Brazil;;Distrito Federal;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM086395/TileGroup0/0-0-0.jpg']
20304;Piper;arboreum;Piper;arboreum;Brasil;Brasil;Cuiabá;Mato Grosso;['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00046142/TileGroup0/0-0-0.jpg']
8714;Piper;aduncum;Piper;aduncum;Brasil;Brazil;Araguaína;Goiás;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM072519/TileGroup0/0-0-0.jpg']
3132;Piper;arboreum;Piper;arboreum;Brasil;Brazil;;Mato Grosso;['https://storage.googleapis.com/cria-zoomify/herbaria/NL-BOTANY/NL-U1490897/TileGroup0/0-0-0.jpg']
20479;Piper;hispidum;Piper;hispidum;Brasil;Brasil;Santa Terezinha;Mato Grosso;['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00046289/TileGroup0/0-0-0.jpg']
20761;Piper;dilatatum;Piper;dilatatum;Brasil;Brasil;Goiás;Goiás;['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00103357/TileGroup0/0-0-0.jpg']
20769;Piper;arboreum;Piper;arboreum;Brasil;Brasil;Cáceres;Mato Grosso;['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00161693/TileGroup0/0-0-0.jpg']
20779;Piper;amalago;Piper;amalago;Brasil;Brasil;Corumbá;Mato Grosso do Sul;['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00131422/TileGroup0/0-0-0.jpg']
20772;Piper;regnellii;Piper;regnellii;Brasil;Brasil;Amambai;Mato Grosso do Sul;['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00080783/TileGroup0/0-0-0.jpg']
20777;Piper;tuberculatum;Piper;tuberculatum;Brasil;Brasil;Aquidauana;Mato Grosso do Sul;['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00178972/TileGroup0/0-0-0.jpg']
11669;Piper;ovatum;Piper;ovatum;Brasil;;BRASILIA;DF;['https://storage.googleapis.com/cria-zoomify/herbaria/CEN/CEN00026701/TileGroup0/0-0-0.jpg']
25002;Piper;dilatatum;Piper;dilatatum;Brasil;Brasil;Tapirapuã;Mato Grosso;['https://storage.googleapis.com/cria-zoomify/herbaria/SP/SP011203/TileGroup0/0-0-0.jpg']
8697;Piper;aduncum;Piper;aduncum;Brasil;Brazil;Pirenópolis;Goiás;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM348469/TileGroup0/0-0-0.jpg']
