seq;genus;specific_epithet;genus_trusted;specific_epithet_trusted;country_trusted;country;county;state_province;urls
1363;Peperomia;glabella;Peperomia;glabella;Brasil;Brazil;;Acre;['https://storage.googleapis.com/cria-zoomify/herbaria/NL-BOTANY/NL-U1480421/TileGroup0/0-0-0.jpg']
44254;Piper;coruscans;Piper;coruscans;Brasil;Brasil;Porto Velho;Rondônia;['https://storage.googleapis.com/cria-zoomify/herbaria/INPA/INPA0244704_e/TileGroup0/0-0-0.jpg', 'https://storage.googleapis.com/cria-zoomify/herbaria/INPA/INPA0244704/TileGroup0/0-0-0.jpg']
13605;Piper;arboreum;Piper;arboreum;Brasil;Brasil;;Pará;['https://storage.googleapis.com/cria-zoomify/herbaria/IAN/IAN064046_e/TileGroup0/0-0-0.jpg', 'https://storage.googleapis.com/cria-zoomify/herbaria/IAN/IAN064046/TileGroup0/0-0-0.jpg']
659;Piper;ottonoides;Piper;ottonoides;Brasil;Brazil;;Pará;['https://storage.googleapis.com/cria-zoomify/herbaria/NL-BOTANY/NL-U1482519/TileGroup0/0-0-0.jpg']
1757;Peperomia;quadrangularis;Peperomia;quadrangularis;Brasil;Brazil;;Amazonas;['https://storage.googleapis.com/cria-zoomify/herbaria/NL-BOTANY/NL-U1481598/TileGroup0/0-0-0.jpg']
9236;Piper;erectipilum;Piper;erectipilum;Brasil;Brazil;Manaus;Amazonas;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM224431/TileGroup0/0-0-0.jpg']
9243;Piper;hispidum;Piper;hispidum;Brasil;Brazil;Tefé;Amazonas;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM087154/TileGroup0/0-0-0.jpg']
43700;Piper;aduncum;Piper;aduncum;Brasil;Brasil;Boa Vista;Roraima;['https://storage.googleapis.com/cria-zoomify/herbaria/INPA/INPA0160510_e/TileGroup0/0-0-0.jpg', 'https://storage.googleapis.com/cria-zoomify/herbaria/INPA/INPA0160510/TileGroup0/0-0-0.jpg']
25006;Piper;durilignum;Piper;durilignum;Brasil;Brasil;Manaus;Amazonas;['https://storage.googleapis.com/cria-zoomify/herbaria/SP/SP011210/TileGroup0/0-0-0.jpg']
25012;Piper;froesii;Piper;froesii;Brasil;Brasil;Manaus;Amazonas;['https://storage.googleapis.com/cria-zoomify/herbaria/SP/SP011216/TileGroup0/0-0-0.jpg']
25035;Piper;mastersianum;Piper;mastersianum;Brasil;Brasil;Manaus;Amazonas;['https://storage.googleapis.com/cria-zoomify/herbaria/SP/SP011252/TileGroup0/0-0-0.jpg']
24984;Piper;bartlingianum;Piper;bartlingianum;Brasil;Brasil;Laranjal do Jari;Amapá;['https://storage.googleapis.com/cria-zoomify/herbaria/SP/SP011179/TileGroup0/0-0-0.jpg']
24995;Piper;cyrtopodon;Piper;cyrtopodon;Brasil;Brasil;Manaus;Amazonas;['https://storage.googleapis.com/cria-zoomify/herbaria/SP/SP011198/TileGroup0/0-0-0.jpg']
45072;Piper;peltatum;Piper;peltatum;Brasil;Brasil;;Pará;['https://storage.googleapis.com/cria-zoomify/herbaria/INPA/INPA0070869_e/TileGroup0/0-0-0.jpg', 'https://storage.googleapis.com/cria-zoomify/herbaria/INPA/INPA0070869_e1/TileGroup0/0-0-0.jpg', 'https://storage.googleapis.com/cria-zoomify/herbaria/INPA/INPA0070869/TileGroup0/0-0-0.jpg']
23682;Piper;tuberculatum;Piper;tuberculatum;Brasil;Brasil;Lavandeira;Tocantins;['https://storage.googleapis.com/cria-zoomify/herbaria/ESA/Piperaceae/ESA090233/TileGroup0/0-0-0.jpg']
651;Piper;ottonoides;Piper;ottonoides;Brasil;Brazil;;Rondônia;['https://storage.googleapis.com/cria-zoomify/herbaria/NL-BOTANY/NL-U1482518/TileGroup0/0-0-0.jpg']
20939;Peperomia;macrostachya;Peperomia;macrostachya;Brasil;Brasil;Marabá;Pará;['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00113595/TileGroup0/0-0-0.jpg']
24951;Peperomia;magnoliifolia;Peperomia;magnoliifolia;Brasil;Brasil;Jaru;Rondônia;['https://storage.googleapis.com/cria-zoomify/herbaria/SP/SP011002/TileGroup0/0-0-0.jpg']
44991;Piper;obliquum;Piper;obliquum;Brasil;Brasil;;Rondônia;['https://storage.googleapis.com/cria-zoomify/herbaria/INPA/INPA0213523_e/TileGroup0/0-0-0.jpg', 'https://storage.googleapis.com/cria-zoomify/herbaria/INPA/INPA0213523/TileGroup0/0-0-0.jpg']
13843;Piper;ottonoides;Piper;ottonoides;Brasil;Brasil;;Pará;['https://storage.googleapis.com/cria-zoomify/herbaria/IAN/IAN013434_e/TileGroup0/0-0-0.jpg', 'https://storage.googleapis.com/cria-zoomify/herbaria/IAN/IAN013434_e1/TileGroup0/0-0-0.jpg', 'https://storage.googleapis.com/cria-zoomify/herbaria/IAN/IAN013434/TileGroup0/0-0-0.jpg']
