seq;genus;specific_epithet;genus_trusted;specific_epithet_trusted;country_trusted;country;county;state_province;urls
40891;Ottonia;taperana;Piper;anisum;Brasil;Brasil;Palmares;Pernambuco;['https://storage.googleapis.com/cria-zoomify/herbaria/IPA/IPA0003648/TileGroup0/0-0-0.jpg']
22332;Piper;corcovadensis;Piper;grazielae;Brasil;Brasil;Jequié;Bahia;['https://storage.googleapis.com/cria-zoomify/herbaria/HUESB/HUESB000008456/TileGroup0/0-0-0.jpg']
22343;Piper;corcovadensis;Piper;grazielae;Brasil;Brasil;Jequié;Bahia;['https://storage.googleapis.com/cria-zoomify/herbaria/HUESB/HUESB000011408/TileGroup0/0-0-0.jpg']
9311;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;Itabuna;Bahia;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM110148/TileGroup0/0-0-0.jpg']
22339;Piper;corcovadensis;Piper;grazielae;Brasil;Brasil;Jequié;Bahia;['https://storage.googleapis.com/cria-zoomify/herbaria/HUESB/HUESB000011409/TileGroup0/0-0-0.jpg']
22341;Piper;corcovadensis;Piper;grazielae;Brasil;Brasil;Jequié;Bahia;['https://storage.googleapis.com/cria-zoomify/herbaria/HUESB/HUESB000011405/TileGroup0/0-0-0.jpg']
21865;Piper;corcovadensis;Piper;grazielae;Brasil;Brasil;Santa Terezinha;Bahia;['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0170743/TileGroup0/0-0-0.jpg']
21869;Piper;corcovadensis;Piper;grazielae;Brasil;Brasil;Elísio Medrado;Bahia;['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0093859/TileGroup0/0-0-0.jpg']
22342;Piper;corcovadensis;Piper;grazielae;Brasil;Brasil;Jequié;Bahia;['https://storage.googleapis.com/cria-zoomify/herbaria/HUESB/HUESB000011407/TileGroup0/0-0-0.jpg']
32000;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;;Bahia;['https://storage.googleapis.com/cria-zoomify/herbaria/NY/NY00556133_01/TileGroup0/0-0-0.jpg']
31998;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;;Bahia;['https://storage.googleapis.com/cria-zoomify/herbaria/NY/NY00556132_01/TileGroup0/0-0-0.jpg']
32003;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;;Bahia;['https://storage.googleapis.com/cria-zoomify/herbaria/NY/NY00556121_01/TileGroup0/0-0-0.jpg']
32004;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;;Pernambuco;['https://storage.googleapis.com/cria-zoomify/herbaria/NY/NY00556124_01/TileGroup0/0-0-0.jpg']
36934;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;Areia Mun.;Paraíba;['https://storage.googleapis.com/cria-zoomify/herbaria/NY/NY00556123_01/TileGroup0/0-0-0.jpg']
38097;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;Itamaraju Mun.;Bahia;['https://storage.googleapis.com/cria-zoomify/herbaria/NY/NY00556135_01/TileGroup0/0-0-0.jpg']
38682;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;Prado Mun.;Bahia;['https://storage.googleapis.com/cria-zoomify/herbaria/NY/NY00556106_01/TileGroup0/0-0-0.jpg']
