seq;genus;specific_epithet;genus_trusted;specific_epithet_trusted;country_trusted;country;county;state_province;urls
9735;Piper;arboreum;Piper;arboreum;Brasil;Brazil;Antonina;Paraná;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM044861/TileGroup0/0-0-0.jpg']
13064;Piper;corcovadensis;Piper;grazielae;Brasil;Brasil;Diamante do Norte;Paraná;['https://storage.googleapis.com/cria-zoomify/herbaria/HUEM/HUEM000009983/TileGroup0/0-0-0.jpg']
9821;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;Bocaiúva do Sul;Paraná;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM310953/TileGroup0/0-0-0.jpg']
10059;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;Fênix;Paraná;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM320258/TileGroup0/0-0-0.jpg']
10184;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;Guaraqueçaba;Paraná;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM279469/TileGroup0/0-0-0.jpg']
9728;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;Antonina;Paraná;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM076460/TileGroup0/0-0-0.jpg']
10914;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;Torres;Rio Grande do Sul;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM216370/TileGroup0/0-0-0.jpg']
10995;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;Joinville;Santa Catarina;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM332422/TileGroup0/0-0-0.jpg']
11027;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;São Francisco do Sul;Santa Catarina;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM340330/TileGroup0/0-0-0.jpg']
12953;Piper;corcovadensis;Piper;grazielae;Brasil;Brasil;Diamante do Norte;Paraná;['https://storage.googleapis.com/cria-zoomify/herbaria/HUEM/HUEM000009984/TileGroup0/0-0-0.jpg']
12954;Piper;corcovadensis;Piper;grazielae;Brasil;Brasil;Diamante do Norte;Paraná;['https://storage.googleapis.com/cria-zoomify/herbaria/HUEM/HUEM000009985/TileGroup0/0-0-0.jpg']
13057;Piper;corcovadensis;Piper;grazielae;Brasil;Brasil;Diamante do Norte;Paraná;['https://storage.googleapis.com/cria-zoomify/herbaria/HUEM/HUEM000009989/TileGroup0/0-0-0.jpg']
13104;Piper;corcovadensis;Piper;grazielae;Brasil;Brasil;Diamante do Norte;Paraná;['https://storage.googleapis.com/cria-zoomify/herbaria/HUEM/HUEM000009993/TileGroup0/0-0-0.jpg']
13055;Piper;corcovadensis;Piper;grazielae;Brasil;Brasil;Diamante do Norte;Paraná;['https://storage.googleapis.com/cria-zoomify/herbaria/HUEM/HUEM000009987/TileGroup0/0-0-0.jpg']
24660;Piper;corcovadensis;Piper;grazielae;Brasil;Brasil;Nova Veneza;Santa Catarina;['https://storage.googleapis.com/cria-zoomify/herbaria/FLOR/FLOR0061273/TileGroup0/0-0-0.jpg']
38926;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;Itajaí Mun.;Santa Catarina;['https://storage.googleapis.com/cria-zoomify/herbaria/NY/NY00556119_01/TileGroup0/0-0-0.jpg']
40177;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;;Rio Grande do Sul;['https://storage.googleapis.com/cria-zoomify/herbaria/NY/NY00556125_01/TileGroup0/0-0-0.jpg']
42310;Piper;corcovadensis;Piper;grazielae;Brasil;Brasil;Orleans;Santa Catarina;['https://storage.googleapis.com/cria-zoomify/herbaria/FURB/FURB37866/TileGroup0/0-0-0.jpg']
42329;Piper;corcovadensis;Piper;grazielae;Brasil;Brasil;Corupá;Santa Catarina;['https://storage.googleapis.com/cria-zoomify/herbaria/FURB/FURB37903/TileGroup0/0-0-0.jpg']
42338;Piper;corcovadensis;Piper;grazielae;Brasil;Brasil;Santa Rosa de Lima;Santa Catarina;['https://storage.googleapis.com/cria-zoomify/herbaria/FURB/FURB37876/TileGroup0/0-0-0.jpg']
42315;Piper;corcovadensis;Piper;grazielae;Brasil;Brasil;Turvo;Santa Catarina;['https://storage.googleapis.com/cria-zoomify/herbaria/FURB/FURB37860/TileGroup0/0-0-0.jpg']
42326;Piper;corcovadensis;Piper;grazielae;Brasil;Brasil;Urussanga;Santa Catarina;['https://storage.googleapis.com/cria-zoomify/herbaria/FURB/FURB37898/TileGroup0/0-0-0.jpg']
