seq;genus;specific_epithet;genus_trusted;specific_epithet_trusted;country_trusted;country;county;state_province;urls
19770;Ottonia;anisum;Piper;anisum;Brasil;Brasil;Guapimirim;Rio de Janeiro;['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00196139/TileGroup0/0-0-0.jpg']
7333;Piper;corcovadense;Piper;grazielae;Brasil;Brazil;Tapira;São Paulo;['https://storage.googleapis.com/cria-zoomify/herbaria/UEC/UEC139183/TileGroup0/0-0-0.jpg']
21142;Ottonia;propinqua;Piper;grazielae;Brasil;Brasil;Limeira;São Paulo;['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00013030/TileGroup0/0-0-0.jpg']
21260;Piper;corcovadensis;Piper;grazielae;Brasil;Brasil;São Paulo;São Paulo;['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00163151/TileGroup0/0-0-0.jpg']
3721;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;;Minas Gerais;['https://storage.googleapis.com/cria-zoomify/herbaria/NL-BOTANY/NL-U0005576/TileGroup0/0-0-0.jpg']
3720;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;;Minas Gerais;['https://storage.googleapis.com/cria-zoomify/herbaria/NL-BOTANY/NL-U0005575/TileGroup0/0-0-0.jpg']
9575;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;Caxambú;Minas Gerais;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM109450/TileGroup0/0-0-0.jpg']
9413;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;Ibatiba;Espírito Santo;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM096912/TileGroup0/0-0-0.jpg']
9400;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;Conceição do Castelo;Espírito Santo;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM104697/TileGroup0/0-0-0.jpg']
9402;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;Conceição do Castelo;Espírito Santo;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM104701/TileGroup0/0-0-0.jpg']
9452;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;Venda Nova do Imigrante;Espírito Santo;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM253786/TileGroup0/0-0-0.jpg']
9554;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;Belo Horizonte;Minas Gerais;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM175695/TileGroup0/0-0-0.jpg']
36777;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;Nova Venécia Mun.;Espírito Santo;['https://storage.googleapis.com/cria-zoomify/herbaria/NY/NY00556117_01/TileGroup0/0-0-0.jpg']
9596;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;Francisco Sá;Minas Gerais;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM065926/TileGroup0/0-0-0.jpg']
9604;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;Juiz de Fora;Minas Gerais;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM286904/TileGroup0/0-0-0.jpg']
10826;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;Silva Jardim;Rio de Janeiro;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM337356/TileGroup0/0-0-0.jpg']
8874;Piper;coccoloboides;Piper;coccoloboides;Brasil;Brazil;;Minas Gerais;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM059537/TileGroup0/0-0-0.jpg']
11059;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;Charqueada;São Paulo;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM162298/TileGroup0/0-0-0.jpg']
11105;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;São Sebastião;São Paulo;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM250475/TileGroup0/0-0-0.jpg']
11115;Piper;corcovadensis;Piper;grazielae;Brasil;Brazil;Vinhedo;São Paulo;['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM317800/TileGroup0/0-0-0.jpg']
13675;Piper;corcovadensis;Piper;grazielae;Brasil;Brasil;;São Paulo;['https://storage.googleapis.com/cria-zoomify/herbaria/IAN/IAN037227_e/TileGroup0/0-0-0.jpg', 'https://storage.googleapis.com/cria-zoomify/herbaria/IAN/IAN037227/TileGroup0/0-0-0.jpg']
14370;Piper;corcovadensis;Piper;grazielae;Brasil;Brasil;Viçosa;Minas Gerais;['https://storage.googleapis.com/cria-zoomify/herbaria/VIC/VIC000183/TileGroup0/0-0-0.jpg']
20381;Piper;corcovadensis;Piper;grazielae;Brasil;Brasil;Jundiaí;São Paulo;['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00195599/TileGroup0/0-0-0.jpg']
21864;Piper;corcovadensis;Piper;grazielae;Brasil;Brasil;Ubatuba;São Paulo;['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0124316/TileGroup0/0-0-0.jpg']
25147;Piper;corcovadensis;Piper;grazielae;Brasil;Brasil;Cotia;São Paulo;['https://storage.googleapis.com/cria-zoomify/herbaria/SP/SP011196/TileGroup0/0-0-0.jpg']
